level1	MM-ED-DNA-A-12-2023.reads.qc	MM-ED-DNA-A-4-2023.reads.qc	MM-ED-DNA-A-9-2022.reads.qc	MM-ED-DNA-O-12-2023.reads.qc	MM-ED-DNA-O-4-2023.reads.qc	MM-ED-DNA-O-9-2022.reads.qc	MM-HC-DNA-A-12-2023.reads.qc	MM-HC-DNA-A-4-2023.reads.qc	MM-HC-DNA-A-9-2022.reads.qc	MM-HC-DNA-O-12-2023.reads.qc	MM-HC-DNA-O-4-2023.reads.qc	MM-HC-DNA-O-9-2022.reads.qc	ZH-ED-DNA-A-12-2023.reads.qc	ZH-ED-DNA-A-4-2023.reads.qc	ZH-ED-DNA-A-9-2022.reads.qc	ZH-ED-DNA-O-12-2023.reads.qc	ZH-ED-DNA-O-4-2023.reads.qc	ZH-ED-DNA-O-9-2022.reads.qc	ZH-HC-DNA-A-12-2023.reads.qc	ZH-HC-DNA-A-4-2023.reads.qc	ZH-HC-DNA-A-9-2022.reads.qc	ZH-HC-DNA-O-12-2023.reads.qc	ZH-HC-DNA-O-4-2023.reads.qc	ZH-HC-DNA-O-9-2022.reads.qc
BAC0001|abeM|tr|Q5FAM9|Q5FAM9_ACIBA	0	0	0	0	6.70602490600734e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAC0003|acn|tr|O53166|O53166_MYCTU	0.00842490275112547	0.00578361874115159	0.00406608202411599	0.00911598343437962	0.00608397659582045	0.00406314359018679	0.00986382698957313	0.00781575334660688	0.00990659018548427	0.0104892324942624	0.0101915174192671	0.0104988698024828	0.0072902928178259	0.00757624301464744	0.00788518541477967	0.00747702977579139	0.0078799306298635	0.00749183267133431	0.00766189903699926	0.00812320167318409	0.00823090565898392	0.00716753907411628	0.0070926175160112	0.00816190210233655
BAC0005|acrA|sp|P0AE06|ACRA_ECOLI	0	0	0	0	2.04322612753312e-05	0	1.16252169965629e-05	0	0	4.74879340519625e-05	4.76876881360781e-05	0	0	1.35595492900223e-05	0	0	1.62531411204773e-05	0	0	3.74312284044147e-05	2.38139550969168e-05	1.28945287447555e-05	0	4.89017834767055e-05
BAC0006|acrB|sp|P31224|ACRB_ECOLI	0.00128302158102658	0.00137356932317446	0.000511266301625185	0.00139894216242539	0.00132905154166924	0.000528552902633208	0.000710716118959993	0.000410807211743023	0.000198326393222801	0.000791495139697406	0.000506667308532039	9.63636435873486e-05	0.000953107422951499	0.000789766835449543	0.000482815206646217	0.000965430209392783	0.000762986652339713	0.000522138543499245	0.000423206125652338	0.000263469455507966	0.000234826381811261	0.000481851944707429	0.000231129234056674	0.000130952158690784
BAC0007|acrC|tr|Q1LMP2|Q1LMP2_RALME	1.98837558718172e-05	3.55642087952532e-05	1.53291024801705e-05	2.8141346783437e-05	4.87116818193073e-05	4.23375072436038e-05	0	0	0	0	0	0	1.12595935827934e-05	7.3768970193014e-05	2.22105581595944e-05	7.67807172659034e-05	1.21929271066317e-05	8.56764833203436e-06	0	3.82726739520966e-05	0	0	1.13704321116833e-05	0
BAC0008|acrD/yffA|sp|P24177|ACRD_ECOLI	0.000372558341131295	0.000263533111097968	0.000164411830404032	0.000435044325575675	0.000285017310658963	0.000161674569609133	0.000112064625552036	4.02291274757435e-05	1.64320072697492e-05	0.000119451456592247	5.42794548043219e-05	1.25534429699612e-05	9.531430551336e-05	0.000158742964188704	0.000329624387730142	0.00011095072789099	0.000130286775972193	0.000241755158877281	2.98326395595176e-05	5.26407726719436e-05	1.50933985411756e-05	1.91535354843506e-05	2.71994003443051e-05	2.74201140219607e-05
BAC0009|acrE/envC|sp|P24180|ACRE_ECOLI	0.000138050076481474	1.53832725138527e-05	2.01567743651592e-05	1.20879875956127e-05	7.80337443608127e-06	0	2.15776105603736e-05	1.01797154984983e-05	0	0	0	0	1.33250709770396e-05	0	0	0	3.42035357796421e-05	4.32610606687657e-05	0	2.36313771691799e-05	1.33694911544105e-05	0	2.96037321764897e-05	1.24791603564522e-05
BAC0010|acrF/envD|sp|P24181|ACRF_ECOLI	0.000569804646985911	0.000314912888695434	0.000315968159862363	0.000657307289013713	0.000274338420201253	0.000252305338138382	0.000251024637275646	0.000119437182078126	4.94390470175917e-05	0.000232743461081826	0.000216641812541447	2.02789771030853e-05	0.000282252094454551	0.000290293951604858	0.000381718635705087	0.00031588110057683	0.000246938612306959	0.000321317884676864	7.40424512991506e-05	0.000119078677153917	6.50188019667378e-05	9.7431757545092e-05	7.6379283210565e-05	3.66978347868313e-05
BAC0011|acrR/ybaH|sp|P0ACS9|ACRR_ECOLI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.78814334367258e-05	0	0	4.46928068579916e-05
BAC0012|actP|sp|Q9X5X3|ATCU_SINMW	0.00148960062660481	0.000727842173353646	0.000471251735571999	0.00141363053416684	0.000665668413170496	0.000458801378376273	0.000299235334626619	0.000542462719202325	0.00281841283439867	0.000270651125757001	0.000588903067806807	0.00308811528723346	0.000315129066709723	0.000185122771436359	0.000113972006159887	0.000279188892875731	0.000178019684469545	0.000135103629864643	0.000589837847830739	0.000600426843909438	0.000318821601980716	0.000546576777025731	0.000333822550258334	0.000199657943032407
BAC0013|adeE|tr|Q8GKU1|Q8GKU1_ACIG3	9.28011752409244e-05	0.000113518454023556	3.26594222484133e-05	5.84897248662507e-05	8.77510545538518e-05	3.22843925892346e-05	6.02293964440458e-05	3.74096902140761e-05	1.24198189057798e-05	8.80568252910756e-05	0.000107559888903178	0	5.50209387190075e-06	7.54471122677377e-05	2.8841660675431e-05	2.03677474959021e-05	4.3343737401837e-05	5.10771602420147e-05	1.97065365877276e-05	1.43438201511126e-05	1.98735679322318e-05	2.4508566063584e-05	4.22275458973952e-06	2.75412246973273e-05
BAC0015|adeG|tr|Q2FD81|Q2FD81_ACIBA	0.000426739174770399	0.000647257468424825	3.86185905082056e-05	0.000391118880985524	0.00059898746383113	4.26973160870339e-05	0.000339407596013078	0.000120400689194704	7.84829349551262e-05	0.000348759181199044	0.000342067461095725	4.62005779893395e-05	0.000504672208688266	0.000841884630505343	0.000525453823152922	0.000648309219026761	0.00104874371099828	0.000503364508856049	0.000622519734568722	0.000788099362237629	0.0010455003402417	0.000556481591304262	0.000647486518677058	0.000923656509426439
BAC0016|adeH|tr|Q2FD80|Q2FD80_ACIBA	1.00036287305416e-05	2.40235666587229e-05	0	9.43871258574906e-06	1.77894318666027e-05	0	9.93751468642004e-06	8.83553406391402e-06	8.81987139685814e-06	1.25742364041046e-05	2.31497363058349e-05	9.04436780736293e-06	1.15655607997172e-05	0	0	2.29933381341991e-05	0	0	5.04641211998064e-05	8.22531751226769e-05	6.4158531197962e-05	2.05613005147739e-05	8.10408127214694e-05	7.89682448465823e-05
BAC0017|adeI|tr|Q2FD95|Q2FD95_ACIBA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88028345623657e-05	0	0	0	0	0	0	0	0	0
BAC0018|adeJ|tr|Q24LT7|Q24LT7_ACIBA	0.000345777601773067	0.00029657354165918	9.02930137878235e-05	0.000342114858220146	0.000225634793086996	8.20339223529185e-05	0.000218895364261198	0.000115493052406876	4.84819017777606e-05	0.000174365022744962	0.000175819044710126	2.86549166140233e-05	0.000237273585847614	0.000177979465560962	5.47094951954503e-05	0.000165012190975257	0.000286393188035428	0.000116920461748578	0.000173670838510371	3.26774147433934e-05	4.91472315256312e-05	0.000216280735020375	3.71057071546318e-05	1.77936718018006e-05
BAC0019|adeK|tr|Q24LT6|Q24LT6_ACIBA	0	0	0	0	0	0	0	0	0	1.1763990540772e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAC0020|aioA/aoxB|sp|Q8GGJ6|AIOA_HERAR	8.75049343314771e-05	0.000443672522381542	0.000310884080558233	5.49625032668036e-05	0.00032858158102167	0.00033429203661354	3.21835547341165e-05	2.02444059631154e-05	5.05212972438502e-06	0	1.44596677272386e-05	5.18288263672781e-06	0.00154139201448904	0.000957364918776754	0.00570436297483048	0.00175137918262622	0.00092672741032104	0.00457146402903375	0.000580589604746839	0.000220414883756414	4.38751460835245e-05	0.00066660217697216	0.000263283663283376	9.21152826034901e-05
BAC0022|aioR/aoxR|tr|Q2VGB1|Q2VGB1_RHIRD	0.00010306906162644	5.16836191924689e-05	3.45880215322511e-05	0.00012033290819162	6.63392755226674e-05	0	4.59432783927512e-05	0.000107388577399317	0.000106804822762147	8.10124340045559e-05	6.89921182788047e-05	0.000119983565526266	0.000202472075215475	0.000252349961384247	5.68066813601823e-05	0.000142968102701528	0.000190673104436738	0.000101270766313832	0.000225765318645311	0.000198977621488607	0.000120969264663129	0.000191098666385794	0.000107832599104408	0.000166819027906549
