gene	MM-ED-DNA-A-12-2023.reads.qc	MM-ED-DNA-A-4-2023.reads.qc	MM-ED-DNA-A-9-2022.reads.qc	MM-ED-DNA-O-12-2023.reads.qc	MM-ED-DNA-O-4-2023.reads.qc	MM-ED-DNA-O-9-2022.reads.qc	MM-HC-DNA-A-12-2023.reads.qc	MM-HC-DNA-A-4-2023.reads.qc	MM-HC-DNA-A-9-2022.reads.qc	MM-HC-DNA-O-12-2023.reads.qc	MM-HC-DNA-O-4-2023.reads.qc	MM-HC-DNA-O-9-2022.reads.qc	ZH-ED-DNA-A-12-2023.reads.qc	ZH-ED-DNA-A-4-2023.reads.qc	ZH-ED-DNA-A-9-2022.reads.qc	ZH-ED-DNA-O-12-2023.reads.qc	ZH-ED-DNA-O-4-2023.reads.qc	ZH-ED-DNA-O-9-2022.reads.qc	ZH-HC-DNA-A-12-2023.reads.qc	ZH-HC-DNA-A-4-2023.reads.qc	ZH-HC-DNA-A-9-2022.reads.qc	ZH-HC-DNA-O-12-2023.reads.qc	ZH-HC-DNA-O-4-2023.reads.qc	ZH-HC-DNA-O-9-2022.reads.qc
AAB03644	0	0	0	0	0	0	0.0002208061803966	0	4.26170256570879e-05	0.0001835900153413	6.10388601994426e-05	0	0	5.17203749683933e-05	3.7576174482281e-05	0	0	0	0	0	0	0	5.53054473667539e-05	4.71027131101388e-05
AAB20442	0	0	0	0	0	0	4.55066273997624e-05	0	0	0	0	0	0	0	3.4460467707027e-05	4.89275724535349e-05	0	0	0	4.45360569726855e-05	0	0	0	0
AAK14791	0.0004460079394016	6.8337229821154e-05	8.775174193817e-05	0.0004865747094805	0.0002717735238215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001157710466177	6.50902572854873e-05	0
AAM89276	0	0	0.0001193901250859	0	9.24399740889648e-05	0.0003908077591717	0	0	0	0	0	0	0.0006270186176418	0.0002070438872361	0	0.0005937322085829	0	0.0004971295563429	0.0001602509568672	0	0	0.0004725348841539	0	0
AAS89471	0	0	0	0	0	0	0.0001292259121337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABB72057	0.0007130058895197	0	0.0002895210533334	0.0015890390287089	0	0.0017293243343349	0	0	0	0	0	0	0.0002060830421619	0	0	0	0	0	0.0001842886003973	0	0	0.0001890139536615	0	0
ABD04054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.77404762317277e-05	0	0	0	0.0001444139715894	0	0	8.05879375915557e-05	0
ABM94007	0.0057109136902336	0.0086363773839425	0.0019997217582816	0.0048768213413939	0.0072242326276705	0.0019296990143663	0.0049193292716796	0.0024486918683388	0.0015420185683544	0.0043152793933138	0.0031551124518731	0.0012829388132808	0.010962325496953	0.0065289001460101	0.0072085713371475	0.0091803903736504	0.0073659654543381	0.0103576442598047	0.005162105033738	0.0032423216842431	0.0014076164258286	0.0044099939820095	0.0016565971531978	0.0026184656245677
ACA48664	0	0	0	0	0	0	0	0	0	0	0	0	0.0003126949989278	0	0	0	0	0	0	0	0	0	0	0
AF001493.1.orf0.gene.p01	0	0	0.0001595486217057	0	0.0003630369891493	8.52671474556512e-05	0	8.95292927175632e-05	0	0	0	9.164537729279e-05	0.0003467935138896	0.0003387990882045	0.0010518647523906	0.0002306585558523	0.0004088638046274	0	0.0004348628238624	0.0003965829835186	0.0002181724655417	9.88027485049203e-05	0.000335715983773	0
AF030344.gene.p01	0	3.80779265088891e-05	0	0	0	0	3.04009135261908e-05	0.0001153620105617	5.60225721525632e-05	0.0002246706941272	0.0007086881915728	3.00264376963108e-05	0	0	0	3.89630071805795e-05	0	6.02470282918807e-05	3.65441024550464e-05	0	3.76059672771522e-05	0	0.0001219946958426	0
AF047479.2.gene10.p01	0.000166469945567	0	8.76359834518699e-05	0	0.000101437933544	0	0	0	0	0	0	0	0	0.0002443905108501	8.74396151450798e-05	0	0.0003710173271823	0.0001949343599348	5.82204522002451e-05	0.0003978248000629	0	0	6.56610029263083e-05	0
AF133140.gene.p01	3.70722711778894e-05	0	0	0.0001085798958853	2.25898709058839e-05	0	0	3.27434497662699e-05	0	0	0	0	0.0005187008234293	0.0001239086179367	0	0.0002113223029463	0	0	0	0.0001155681117911	0	7.69833046562856e-05	0	3.76152988457187e-05
